genome	contig	length	genome_name	strain_name
GCF_001661405.1_Cybja1_genomic.fna	NW_017963681.1	30091	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963682.1	22172	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963683.1	20876	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963684.1	20153	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963685.1	15353	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963686.1	15038	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963687.1	12785	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963688.1	11388	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963689.1	8584	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963690.1	10789	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963691.1	6769	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963692.1	6685	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963693.1	5689	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963694.1	5447	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963695.1	4980	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963696.1	4838	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963697.1	4869	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963698.1	2789	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963699.1	4119	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963700.1	3665	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963701.1	3203	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963702.1	3075	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963703.1	2868	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963704.1	2596	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963705.1	2558	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963706.1	2093	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963707.1	2055	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963708.1	1800	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963709.1	1803	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963710.1	1842	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963711.1	1546	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963712.1	1542	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963713.1	1490	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963714.1	1410	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963715.1	1409	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963716.1	1409	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963717.1	1348	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963718.1	1300	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963719.1	1243	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963720.1	1195	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963721.1	1126	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963722.1	1132	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963723.1	1125	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963724.1	1115	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963725.1	1017	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963726.1	1058	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963727.1	1019	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
